,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y,percentage_error,actual_growth_rate,predicted_growth_rate,Year
0,2009-01-01,-18483.685428,6967.920103658429,13776.322590842,-18483.685428,-18483.685428,28971.806419450342,28971.806419450342,28971.806419450342,28971.806419450342,28971.806419450342,28971.806419450342,0.0,0.0,0.0,10488.120991450342,16096.0,34.84020258790792,,,2009
1,2010-01-01,-14844.848162730412,10753.13608598343,17511.960252018314,-14844.848162730412,-14844.848162730412,28846.334311599738,28846.334311599738,28846.334311599738,28846.334311599738,28846.334311599738,28846.334311599738,0.0,0.0,0.0,14001.486148869326,16468.0,14.977616292996561,0.023111332007952345,0.3349851856479338,2010
2,2011-01-01,-11206.01089641827,13471.317875403818,20455.991248011054,-11206.01089641827,-11206.01089641827,28312.52467409261,28312.52467409261,28312.52467409261,28312.52467409261,28312.52467409261,28312.52467409261,0.0,0.0,0.0,17106.51377767434,16482.0,3.7890655119180896,0.0008501335924215869,0.2217641467335063,2011
3,2012-01-01,-7567.1736288386965,16632.18316088218,23310.390404459915,-7567.1736288386965,-7567.1736288386965,27371.114571421243,27371.114571421243,27371.114571421243,27371.114571421243,27371.114571421243,27371.114571421243,0.0,0.0,0.0,19803.940942582547,17641.0,12.260874908352967,0.0703191360271811,0.1576842131579499,2012
4,2013-01-01,-3918.3640411440965,21519.553224176965,28289.135140272,-3918.3640411440965,-3918.3640411440965,28971.806419449596,28971.806419449596,28971.806419449596,28971.806419449596,28971.806419449596,28971.806419449596,0.0,0.0,0.0,25053.4423783055,20243.0,23.763485542189887,0.147497307408877,0.2650735755546232,2013
5,2014-01-01,-276.7942643119851,25079.14682103689,31996.44258329321,-276.7942643119851,-276.7942643119851,28846.33431159859,28846.33431159859,28846.33431159859,28846.33431159859,28846.33431159859,28846.33431159859,0.0,0.0,0.0,28569.540047286606,26262.0,8.78661201464704,0.297337351183125,0.1403438942995634,2014
6,2015-01-01,3365.156291210901,28259.50259761195,35084.7492046659,3365.156291210901,3365.156291210901,28312.524674092143,28312.524674092143,28312.524674092143,28312.524674092143,28312.524674092143,28312.524674092143,0.0,0.0,0.0,31677.680965303043,29383.0,7.809553024888688,0.11884091082171966,0.10879212310985853,2015
7,2016-01-01,7008.4868766974705,31129.728461985196,37788.75658736591,7008.4868766974705,7008.4868766974705,27371.114571421927,27371.114571421927,27371.114571421927,27371.114571421927,27371.114571421927,27371.114571421927,0.0,0.0,0.0,34379.6014481194,34289.0,0.2642289017451653,0.16696729401354515,0.08529413771720873,2016
8,2017-01-01,10661.931056881225,36026.308245553555,42853.7528641317,10661.931056881225,10661.931056881225,28971.806419450168,28971.806419450168,28971.806419450168,28971.806419450168,28971.806419450168,28971.806419450168,0.0,0.0,0.0,39633.73747633139,36609.0,8.262278336833546,0.06766018256583739,0.1528271360603397,2017
9,2018-01-01,14305.393151943861,39760.80008537484,46348.25626646694,14305.393151943861,14305.393151943861,28846.334311599647,28846.334311599647,28846.334311599647,28846.334311599647,28846.334311599647,28846.334311599647,0.0,0.0,0.0,43151.72746354351,45896.0,5.979328343333821,0.25368078887705203,0.08876250919593454,2018
10,2019-01-01,17948.855249469136,42948.416152989805,49584.479195618114,17948.855249469136,17948.855249469136,28312.524674090073,28312.524674090073,28312.524674090073,28312.524674090073,28312.524674090073,28312.524674090073,0.0,0.0,0.0,46261.37992355921,47539.0,2.687519881446373,0.03579832665156002,0.07206322070519366,2019
11,2020-01-01,21592.31734560721,45405.36445350068,52094.35817635043,21592.31734560721,21592.31734560721,27371.114571424176,27371.114571424176,27371.114571424176,27371.114571424176,27371.114571424176,27371.114571424176,0.0,0.0,0.0,48963.43191703138,51024.0,4.03842913720723,0.0733082311365405,0.05840837428405621,2020
12,2021-01-01,25245.76152967992,50535.92840597265,57703.2965358179,25245.76152967992,25245.76152967992,28971.806419451015,28971.806419451015,28971.806419451015,28971.806419451015,28971.806419451015,28971.806419451015,0.0,0.0,0.0,54217.567949130935,54418.0,0.36831939959032906,0.06651771715271249,0.10730734808382492,2021
13,2022-01-01,28889.223625817995,54403.4090754442,61196.199745616825,28889.223625817995,28889.223625817995,28846.334311599243,28846.334311599243,28846.334311599243,28846.334311599243,28846.334311599243,28846.334311599243,0.0,0.0,0.0,57735.55793741724,58708.0,1.6564046851924141,0.07883420926899198,0.06488653256426069,2022
14,2023-12-31,36166.165730159526,52480.094743450296,59033.02741720475,36165.1012494202,36167.32560908832,19568.94297836444,19568.94297836444,19568.94297836444,19568.94297836444,19568.94297836444,19568.94297836444,0.0,0.0,0.0,55735.10870852397,,,0.0,-0.03464847834434481,2023
